TERM,DEFINITION ,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN,Timestamp
Browsers: Downloading,The programmatic transfer of web browser installation packages from a remote server onto a local storage device.,"Transfers fail to complete, or downloaded executable installers display file corruption errors upon execution.","Verify underlying internet connectivity, use alternative integrated tools like curl via terminal prompts, and ensure sufficient target disk space is available.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Browsers: Extensions,"Small, modular software add-ons developed to append custom features or capabilities to a web browser's native core interface.","Pages load slowly, web elements break unexpectedly, or unauthorized advertisements appear due to malicious or buggy add-ons.","Open the extensions management window via the menu, toggle off suspicious add-ons one by one to isolate the issue, and remove problematic items.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Browsers: File signatures,Cryptographic hashes or digital marks embedded within downloadable items to verify the authentic author and ensure the code hasn't been altered.,"Software installation routines block execution with warnings indicating an ""Unknown Publisher"" or ""Corrupted Signature"".","Download the file from the developer's official repository, check file properties to view certificate validity details, and update root validation authority listings.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Browsers: Hashing,The conversion of variable-length web data or files into a fixed-length alphanumeric string to verify data integrity.,Browsers generate security alerts or block background script components because sub-resource integrity hashes do not match the source files.,"Re-upload clean production script copies to the web server, re-calculate file hash strings using terminal utilities like “certutil -hashfile”, and update corresponding HTML (Hypertext Markup Language) tags.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Browsers: Installing,Deploying a new web browser application onto an operating system so it can process web resources.,"Installer displays ""Installation Failed"" errors or stops halfway through setup due to missing OS system dependencies.","Run the installation application with elevated privileges by choosing “Run as administrator”, apply pending system updates, and clear out temporary directory locations.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Browsers: Malicious code,Hostile programming scripts embedded within web content that exploit web browser software vulnerabilities to run unauthorized code on a user's system.,"Workstations suffer unauthorized file changes, unexpected outbound connections are made, or browser sessions are hijacked.","Close out active application instances immediately, clear localized app-data cache directories, run a full system anti-malware scan, and apply the latest security patches to the browser.",Security Threats & Vulnerabilities,Malware & Malicious Code,CORE 2,,SECURITY,6/7/2026 0:00:00
Browsers: Password managers,"Built-in utilities or third-party add-ons within web browsers that securely store, generate, and auto-fill user authentication credentials.","Login credentials fail to auto-fill on known login pages, or saved credential sets fail to sync across separate user devices.","Verify the auto-fill setting is enabled in the privacy preferences, sign out and back into the primary user profile sync account, and verify the master password isn't locked out.",Identity and Access Management,Browser Configurations & Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Browsers: Plug-ins,"Binary software modules that integrate with web browsers to help render specific interactive content types, such as legacy rich-media formats.","Content blocks appear as missing puzzle pieces, or the browser crashes entirely when loading interactive pages.","Update the specific plug-in to its latest version, verify it is enabled in the application settings, or migrate content to modern web standards like HTML5 if the plug-in is deprecated.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Browsers: Pop-up blockers,Internal security filters that stop websites from spawning additional automated windows or navigation panels without explicit user interaction.,Crucial secondary business utility tools fail to open when an inline web link option is clicked.,"Look for a blocked notification icon within the address location bar area, click it, and select the option to ""Always allow pop-ups from this site"".",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Browsers: Proxies,"Intermediary application settings that route outbound web browser traffic through an internal or external gateway server for filtering, caching, or anonymity.","Browser displays ""Unable to connect to proxy server"" errors or fails to load any external web pages.","Access network settings within browser preferences, verify the proxy IP address configuration and port entries match corporate network specifications, or temporarily toggle off the proxy for direct internet access testing.",Network Infrastructure & Protocols,Browser Configurations & Security,CORE 1,NETWORKING,,6/7/2026 0:00:00
Browsers: Redirection,"An unauthorized modification of web browser behavior where a user is forced away from their intended website destination to a different, often malicious web page.",Typing a familiar web address automatically lands the user on sketchy advertising portals or fake tech support warnings.,"Inspect the system's local hosts file for unauthorized entries, check for rogue DNS (Domain Name System) configurations on the network adapter, and clear out malicious extensions from the browser.",Security Threats & Vulnerabilities,Malware & Malicious Code,CORE 2,,OPERATING SYSTEMS TROUBLESHOOTING,6/7/2026 0:00:00
Browsers: Secure connections,Encryption links established over HTTPS (Hypertext Transfer Protocol Secure) using SSL/TLS (Secure Sockets Layer/Transport Layer Security) protocols to encrypt communications between a browser and a web server.,"Browser blocks access with prominent red warning screens stating ""Your connection is not private"" or displays expired certificate codes.","Check the workstation system clock to ensure the current date and time are accurate, check that the domain name matches the certificate name, or clear the system's SSL state cache.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Browsers: Security,"The overall defensive stance of a web browser achieved by combining update management, sandbox isolation, and secure configuration options to mitigate web-based attacks.","Browsers allow cross-site scripting attacks to execute, or run unsafe downloads without warning.","Enable advanced safe browsing options, restrict third-party tracking cookies, and verify the application is updated to the latest minor version patch.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Browsers: Settings,"The built-in preference console that allows users to customize operational variables like default search tools, homepages, and privacy rules.","The default search engine keeps reverting to an unknown provider, or the homepage changes without user input.","Navigate to the bottom of the advanced preferences screen, locate the reset option, and click “Restore settings to their original defaults” to clear rogue modifications.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Browsers: Sign-in/data synchronization,"A feature allowing users to log into a profile within a web browser to synchronize bookmarks, history, and settings across multiple devices.","Bookmarks saved on a work laptop fail to appear on a home workstation, or synchronization status indicators display account error states.","Log completely out of the sync account profile inside the browser settings, sign back in using current multi-factor credentials, and ensure sync permissions are toggled on.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Browsers: Trusted/untrusted web sites,Security zone classifications within a browser or operating system that apply lenient security controls to trusted domains while restricting privileges on untrusted domains.,"Web apps fail to run active scripts because they are flagged as untrusted, or corporate sites are blocked from downloading intranet files.","Open the Internet Properties control panel utility via the command “inetcpl.cpl”, navigate to the “Security” tab, click “Trusted sites”, choose “Sites”, and add the explicit corporate domain address.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Brute-force attacks,An automated password cracking attack method that attempts to guess authentication credentials by sequentially trying every possible combination of characters until the correct one is found.,"System logs fill up with thousands of failed authentication attempts originating from a single IP address over a very brief window of time, accompanied by accounts getting locked out.","Implement stringent account lockout policies after a fixed number of failed attempts, enforce complex multi-character password requirements, and deploy multi-factor authentication across all access gateways.",Security Threats & Vulnerabilities,Security Attacks,CORE 2,,SECURITY,6/7/2026 0:00:00
"BSOD (Blue Screen of Death)/stop errors, troubleshooting",Identifying and resolving critical system-level kernel failures that cause a Windows operating system to stop running completely to prevent hardware or data corruption.,"The system abruptly crashes, displaying a bright blue background screen with a technical stop error code like ""DRIVER_IRQL_NOT_LESS_OR_EQUAL"" before restarting.","Extract and analyze the crash dump files using the WinDbg (Windows Debugging) utility tool, or boot into Safe Mode to roll back recently updated device drivers or hardware components.",Operating Systems & Environments,System Maintenance & Recovery,CORE 2,,OPERATING SYSTEMS TROUBLESHOOTING,6/7/2026 0:00:00
Bus speeds,The operational data transfer frequency of internal motherboard pathways that connect core components like the CPU with system memory and peripheral slots.,"Unstable system performance, random lockups under high processing loads, or peripheral expansion cards falling back to lower performance modes.","Enter the motherboard configuration interface, verify the system clock multipliers match the factory ratings of installed hardware components, or update motherboard chipset drivers to the latest release.",Hardware & System Components,Motherboards & Expansion Slots,CORE 1,HARDWARE,,6/7/2026 0:00:00
"Business practices, documenting","The administrative task of creating and maintaining clear, written records of standard operational procedures, asset tracking data, and corporate compliance guidelines.","Technical support teams handle identical hardware failures inconsistently, asset inventories are inaccurate, and onboarding new staff takes too long due to a lack of training materials.","Create a central knowledge base using enterprise wiki software, draft clear Standard Operating Procedures (SOPs), and enforce structured ticketing workflows to document all network change actions.",Operational Procedures & Safety,Documentation & Best Practices,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
"BYOD (Bring Your Own Device), policies","A corporate security and administrative framework that defines the rules, support structures, and security controls for employees who use their personal devices to access company resources.","Company data leaks through personal file sharing apps, or unpatched employee smartphones introduce malware onto internal corporate Wi-Fi networks.","Deploy an MDM (Mobile Device Management) agent onto all participating personal endpoints to enforce data isolation containers, mandate storage encryption, and manage selective corporate data wipes.",Security Threats & Vulnerabilities,Security Policies & Compliance,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Cable internet connectivity,A high-speed internet access service provided by cable television companies that uses the existing coaxial cable infrastructure to deliver data to the end user.,"Extremely slow data throughput, intermittent connection drops, or a complete loss of internet access indicated by a flashing or offline light on the cable modem.",Ensure the coaxial cable is securely tightened to both the wall outlet and the modem; inspect the cable for physical damage or sharp bends; power cycle the cable modem by unplugging it for 30 seconds to force a re-handshake with the service provider's headend.,Networking Infrastructure,Internet Service Technologies,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cable locks,"Physical security hardware designed to tether portable computing devices (like laptops or monitors) to a permanent, heavy object to prevent theft.","The physical locking mechanism becomes jammed or the key is lost, preventing the user from detaching the device from its secure location.","Apply a small amount of graphite lubricant to the lock cylinder; if the key is lost, use the manufacturer’s lock ID code to order a replacement key or use heavy-duty bolt cutters as a last resort for emergency removal.",Physical Security,Hardware Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Cable modems,A networking device that converts radio frequency signals from a cable television service provider into digital Ethernet signals for local network use.,"The modem fails to synchronize with the provider's signal (indicated by a non-solid status light), or the device remains completely unresponsive even after receiving power.","Verify the coaxial cable connection; check the status lights for a ""DS"" (Downstream) or ""US"" (Upstream) connection fault; perform a factory reset by holding the recessed reset button for 10 seconds.",Networking Hardware,Access Devices,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: Coaxial cabling,"A type of copper cable featuring a central conductor, an insulating layer, a metallic shield (to reduce Electromagnetic Interference, or EMI), and an outer jacket.","Poor signal quality, intermittent packet loss, or ""ghosting"" effects on older analog displays due to a damaged shield or poor grounding.","Use a multimeter to check for continuity in the center conductor and ensure the ""F-connector"" or ""BNC"" (Bayonet Neill-Concelman) connector is crimped correctly without stray wire strands touching the center pin.",Physical Infrastructure,Copper Cabling,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Crossover cabling,"A specialized Ethernet cable where the transmit and receive wire pairs at one end are swapped to allow direct communication between two similar devices (e.g., switch-to-switch or PC-to-PC) without a hub or switch.","Network interfaces on both connected devices fail to establish a ""Link"" status light, or data transmission does not occur despite the cable being plugged in.","Replace the cable with a standard ""Straight-through"" cable if the connected network interface cards support ""Auto-MDIX"" (Automatic Medium-Dependent Interface Crossover), which detects and corrects the signal automatically.",Physical Infrastructure,Copper Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: Direct burial cabling,Ruggedized network or power cabling specifically jacketed and shielded to be placed directly into an open trench underground without the need for additional conduit.,"Intermittent signal degradation or complete cable failure caused by moisture intrusion, mechanical damage from soil pressure, or rodent chewing.","Perform a ""TDR"" (Time Domain Reflectometer) test to locate a break in the cable length; if a break is detected, the segment must be excavated and replaced using a waterproof splice kit or an entirely new cable run.",Physical Infrastructure,Copper Cabling,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: DisplayPort cabling,"A digital display interface developed to replace older analog standards, supporting high-resolution video and audio data over a single cable.","Screen flickering, failure to detect an external monitor, or no audio output when using the cable for monitor connectivity.","Ensure the cable is plugged firmly into the ""DP"" (DisplayPort) connector on both devices; swap the cable with a known-good spare to rule out internal wire fatigue; verify that the graphics driver is updated.",Peripherals,Video Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: DVI cabling,"A video interface standard (Digital Visual Interface) designed to provide lossless digital video output, often used with older LCD (Liquid Crystal Display) monitors.","Monitor displays a ""No Signal"" message or color tinting (e.g., image appears blue) due to a bent pin in the connector.","Inspect the connector for bent or broken pins; ensure the thumbscrews are tightened securely; if the issue persists, test the monitor with an HDMI (High-Definition Multimedia Interface) or DisplayPort cable.",Peripherals,Video Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: EMI,"Electromagnetic Interference is a disturbance generated by an external source that affects an electrical circuit by electromagnetic induction, electrostatic coupling, or conduction.","Unexplained network latency, flickering video displays, or erratic mouse and keyboard behavior in close proximity to power cables or fluorescent lights.","Reroute data cables away from high-voltage power lines, electrical motors, or lights; use shielded cables like ""STP"" (Shielded Twisted Pair) to mitigate the noise.",Physical Infrastructure,Cable Management,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Fiber optic cabling/connectivity,"Networking cables that transmit data as pulses of light through strands of glass or plastic fiber, providing high-speed, long-distance data transmission immune to EMI.",Total loss of connectivity over long distances or significantly degraded performance due to physical cracks in the glass or dirty connectors.,"Use a fiber optic inspection scope to check the connector tips for dust or oils; clean them with a lint-free wipe and specialized fiber-cleaning solvent; use a ""Visual Fault Locator"" to check for light leakage indicating a break.",Networking,Fiber Optic Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: HDMI cabling,A proprietary audio/video interface for transmitting uncompressed video data and compressed or uncompressed digital audio data from an HDMI-compliant source device.,"Image cutting out (black screen), lack of high-resolution support, or handshake failure between the computer and the display.","Try a different HDMI port on the monitor; update the system firmware; test with a ""Certified Premium"" HDMI cable if high-bandwidth features like 4K resolution at high refresh rates are failing.",Peripherals,Video Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: IDE cabling,Integrated Drive Electronics is a legacy parallel interface standard used to connect storage devices like hard drives and optical drives to the motherboard.,System fails to boot from the hard drive or the BIOS (Basic Input/Output System) does not detect the drive during startup.,"Verify the ""Master/Slave"" jumper settings on the back of the drive are correct; ensure the ribbon cable is firmly seated; replace the wide ribbon cable with a spare.",Hardware,Storage Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Lightning ports/connectors,"A proprietary computer bus and power connector developed by Apple to connect mobile devices like iPhones and iPads to host computers, chargers, and external monitors.",Device fails to charge or does not connect to the computer for data synchronization.,Check the port on the mobile device for lint or debris and carefully remove it with a non-conductive toothpick; test with an Apple-certified MFi (Made for iPhone/iPad) cable.,Peripherals,Mobile Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Managing,"The process of organizing and securing cables to improve airflow, prevent trip hazards, and make future troubleshooting easier.","Airflow blockage leading to overheating, cables getting snagged in case fans, or difficulty identifying which cable connects to which device.","Use cable ties, Velcro straps, or cable management sleeves to bundle cables together; route cables behind motherboard trays; label both ends of every cable.",Operational Procedures,Infrastructure Management,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Cabling: Multimode cabling,"A type of fiber optic cable designed to carry multiple light rays (modes) simultaneously, typically used for short-distance communication within a building.",Signal loss over long distances (beyond the typical 500-meter range) or excessive dispersion causing bit errors.,"Verify that the cable type (e.g., OM3 or OM4) matches the transceivers being used; if the distance is too long, convert to ""Single-mode"" cabling or use a signal repeater.",Networking,Fiber Optic Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: Patch panels,"A passive hardware device with many ports that organizes and manages incoming and outgoing local area network (LAN) cables, acting as a static switchboard.","Connectivity issues originating at the wall jack, where testing the wall jack reveals no signal but the switch port is active.","Use a ""Punch-down tool"" to reseat wires on the back of the panel; test the connection between the panel and the switch with a known-good patch cable; replace the individual RJ45 (Registered Jack 45) jack insert if faulty.",Networking,Infrastructure,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: Plenum-rated cabling,"Cable jacket material designed to be fire-resistant and produce minimal smoke, mandatory for use in ""Plenum"" spaces (the open space above drop ceilings or below raised floors used for HVAC air circulation).",Potential building code violation; failure to meet safety requirements if non-plenum cable is used in hazardous airflow areas.,"Identify the cable jacket markings; if it does not say ""Plenum"" or ""CMP"" (Communications Multipurpose cable, Plenum), it must be removed and replaced with properly rated cabling to comply with safety regulations.",Physical Infrastructure,Copper Cabling,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: RG-6 cabling,"A specific standard of coaxial cable often used for cable TV and high-speed internet because it has a thicker conductor and better shielding than its predecessor, ""RG-59"".","Weak internet signal, pixelation in video streams, or intermittent internet dropouts.","Inspect the entire run for tight kinks; ensure the connectors are ""Compression"" style rather than ""Crimp"" style for a secure, moisture-resistant connection.",Physical Infrastructure,Copper Cabling,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: SATA cabling,Serial Advanced Technology Attachment is the standard interface for connecting modern storage devices like hard drives and SSDs (Solid-State Drives) to the motherboard.,"Drive not detected, read/write errors, or system hanging during large file transfers.","Replace the data cable; check the power cable connection; ensure the SATA controller mode is set correctly (e.g., AHCI or IDE) in the BIOS.",Hardware,Storage Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: SC,Subscriber Connector is a fiber optic cable connector that uses a push-pull latching mechanism for quick insertion and removal.,"Loose connection or difficulty in properly seating the connector, resulting in intermittent link loss.",Ensure the connector clicks into place; inspect the connector for damaged latches; clean the fiber face with a specialized wipe.,Networking,Fiber Optic Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: SCSI cabling,"Small Computer System Interface is a set of standards for physically connecting and transferring data between computers and peripheral devices, historically common in high-end workstations and servers.",Peripheral devices (like tape drives) not recognized; termination errors (if the chain is not properly terminated).,"Ensure the ""Terminator"" is installed at the end of the daisy-chain; verify the ""SCSI ID"" is unique for every device on the bus; replace the specialized high-density cable.",Hardware,Storage Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Serial cabling,"A cable used for transmitting data one bit at a time over a communication channel, often used for connecting console ports on network devices.","Failure to connect to a switch or router console; scrambled or ""garbage"" text in the terminal window.","Verify the ""Baud rate"" settings (usually 9600) match the device configuration; test the cable with a null-modem adapter if the connection is failing.",Hardware,Legacy Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Signal attenuation,"The gradual loss of signal intensity as it travels through a medium, typically caused by distance, poor cable quality, or external interference.","Slower network speeds as cable length increases, or total loss of signal on cable runs exceeding the maximum specified length.",Use a signal repeater or switch to boost the signal; ensure cable runs do not exceed the standard 100-meter limit for UTP (Unshielded Twisted Pair) copper cabling.,Networking,Copper Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: Single-mode cabling,"Fiber optic cable with a small core designed to carry a single ray of light (mode), allowing for extremely high speeds over very long distances.",Link failure on very long-range connections; mismatched transceiver types.,Ensure the fiber type is compatible with the transceiver; check for signal loss using a power meter; re-terminate the fiber if light intensity is too low.,Networking,Fiber Optic Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: ST connectors,"Straight Tip is a fiber optic connector that uses a bayonet-style locking mechanism, similar to a BNC connector.","Fiber connection not locking, or loose alignment leading to high insertion loss.",Twist the bayonet locking ring firmly until it clicks into the locked position; inspect the spring-loaded ferrule to ensure it moves freely.,Networking,Fiber Optic Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: STP cabling,Shielded Twisted Pair is a type of copper cabling that includes a foil or braided shield to reduce crosstalk and EMI.,Signal degradation or connectivity issues caused by an improperly grounded shield.,Ensure the RJ45 connector is a shielded version and that the shield drain wire is properly connected to the ground of the network device or patch panel.,Physical Infrastructure,Copper Cabling,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Straight-through cabling,"A standard Ethernet cable where the pins at one end match the pins at the other end (e.g., Pin 1 to Pin 1), used to connect different types of devices.",Devices fail to communicate when connecting a computer to a switch.,Confirm the wiring standard used (T568A or T568B) is consistent on both ends; test the cable with a continuity tester for breaks or short circuits.,Physical Infrastructure,Copper Cabling,CORE 1,NETWORKING,,6/7/2026 0:00:00
Cabling: SVGA cabling,"Super Video Graphics Array is an extension of the VGA standard, providing higher resolutions and more colors for analog monitors.","Blurry images or incorrect colors (like a missing red, green, or blue channel).","Ensure the 15-pin connector is fully seated; replace the cable if pins are bent; if the color is missing, inspect the cable for damage.",Peripherals,Video Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Thunderbolt cabling,"A hardware interface that allows for the connection of external peripherals to a computer, combining PCI Express (PCIe) and DisplayPort into a single connection.","External drives or monitors not recognized; ""Device not supported"" messages.","Ensure the cable is ""Thunderbolt"" certified (look for the lightning bolt icon); update the motherboard's Thunderbolt firmware/drivers.",Peripherals,High-Speed Data Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Tools,"Specialized instruments for cable installation, including wire strippers, punch-down tools, cable testers, and crimpers.","Poor terminations, intermittent network connectivity, or damage to cable wires.",Calibrate tools regularly; ensure the crimper is correct for the specific RJ45 or RJ11 connector; use a cable tester to verify every wire pair in the cable has a solid connection.,Operational Procedures,Maintenance Tools,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Twisted pair cabling,A type of copper cabling where pairs of insulated wires are twisted together to cancel out EMI from external sources and crosstalk from neighboring pairs.,"Data corruption, slow speeds, or intermittent drops.","Verify the cable category (Cat5e, Cat6, etc.) meets the network speed requirements; ensure the twists are maintained as close to the termination point as possible.",Physical Infrastructure,Copper Cabling,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: UTP cabling,"Unshielded Twisted Pair is the most common copper network cable, containing no shielding, making it flexible but susceptible to EMI.","Excessive packet errors in environments with high EMI (e.g., near heavy electrical equipment).","If EMI is present, replace with shielded cable (STP) or reroute the cable away from the source of the interference.",Physical Infrastructure,Copper Cabling,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: VGA cabling,"Video Graphics Array is a legacy 15-pin analog video interface, widely used for monitors and projectors before the prevalence of digital standards.","Distorted image, lack of signal, or color inaccuracies.","Ensure the pins are not bent; tighten the mounting screws; if the image quality is poor, use a shorter cable or an active VGA signal booster.",Peripherals,Video Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cabling: Video cabling,"The broad category of cables used to transmit video signals, including VGA, DVI, HDMI, DisplayPort, and Thunderbolt.","No video, incorrect resolution, or image tearing.",Test with a different cable; confirm the display resolution settings match the monitor capabilities; update graphics card drivers.,Peripherals,Video Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cache memory,"A small, extremely fast type of volatile memory (SRAM) located on or near the CPU that stores frequently accessed data to minimize the time the processor spends waiting for data from slower main RAM.","System performance degrades significantly; application crashes or ""blue screen"" errors occurring during high CPU usage.","Run a CPU diagnostic utility to test for cache errors; ensure the CPU cooling system is functioning correctly, as excessive heat can lead to cache corruption.",Hardware,CPU Components,CORE 1,HARDWARE,,6/7/2026 0:00:00
Capture cards,"Hardware devices that convert video signals (from gaming consoles, cameras, or other PCs) into digital data, allowing the computer to record or stream the content.","No video input in streaming software, or significant audio-video desync.",Check the physical PCIe (Peripheral Component Interconnect Express) slot connection; verify that the capture software has the correct input resolution settings; update capture card drivers.,Peripherals,Multimedia Hardware,CORE 1,HARDWARE,,6/7/2026 0:00:00
Car synchronization,"The process of connecting a mobile device to a vehicle's entertainment system, typically via Bluetooth or wired interfaces like Android Auto or Apple CarPlay.","Phone fails to pair with the car, media audio does not play, or navigation maps do not appear on the dashboard.","Delete the phone profile from the car's system and the car profile from the phone, then perform a fresh pairing; ensure the OS of the mobile device is updated.",Mobile Devices,Integration,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Case connectors,"The small, individual wires that connect the front panel of the computer case (power button, reset button, activity LEDs) to the motherboard headers.","The power button does nothing when pressed, or the HDD (Hard Disk Drive) activity light never turns on.",Consult the motherboard manual for the exact pinout diagram; ensure each small connector is seated on the correct corresponding pin header; check for loose connections.,Hardware,Motherboard Components,CORE 1,HARDWARE,,6/7/2026 0:00:00
Case fans,Cooling fans mounted in the computer chassis to promote airflow and prevent heat buildup around internal components.,"Loud grinding noise, fans not spinning, or system shutting down due to thermal protection.",Clean dust from fan blades; verify the fan header is plugged into the motherboard; replace the fan if it is making grinding noises due to bearing failure.,Hardware,Cooling Systems,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cat command,Concatenate is a standard Unix/Linux command used to display the contents of a file directly to the terminal screen.,"Command returns ""Permission denied"" or ""No such file or directory"".",Ensure you have read permissions on the file; double-check the file path and file name; use the “sudo” prefix if elevated access is required to view the file.,Operating Systems,Linux CLI (Command Line Interface),CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
CD drives,Compact Disc drives are optical storage devices that use a laser to read from or write data to a standard 700MB (Megabyte) optical disc.,"Drive fails to open, discs not recognized, or read errors during data access.",Clean the optical lens with a specialized disc cleaning kit; verify that the SATA or IDE power and data cables are securely connected; ensure the device driver is installed in the OS.,Hardware,Storage Devices,CORE 1,HARDWARE,,6/7/2026 0:00:00
Cd command (Linux/Windows),"The ""Change Directory"" command used in the CLI to navigate between different file system folders.","Returns ""Path not found"" or ""Access denied"" errors.",Verify the folder name spelling and path structure; ensure you are not trying to navigate into a system-protected folder without necessary permissions.,Operating Systems,CLI Utilities,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Cellular networks/connectivity,"A wireless network where the land area is divided into cells, each served by at least one fixed-location transceiver, known as a cell site or base station.","Dropped calls, slow data speeds, or inability to connect to the cellular provider's network.","Check for ""Airplane Mode"" status; update the PRL (Preferred Roaming List); toggle cellular radio off and on; ensure the SIM (Subscriber Identity Module) card is seated correctly.",Mobile Devices,Wireless Networking,CORE 1,NETWORKING,,6/7/2026 0:00:00
Certificate Manager,"A Windows utility used to manage user, computer, and service certificates for SSL/TLS (Secure Sockets Layer/Transport Layer Security) encryption and secure communications.","Browser showing ""Connection not secure"" or invalid certificate errors for trusted sites.",Use 'certmgr.msc' to verify that the root CA (Certificate Authority) certificate is listed in the 'Trusted Root Certification Authorities' folder; delete or renew expired certificates.,Security,Cryptography,CORE 2,,SECURITY,6/7/2026 0:00:00
"Certificates, troubleshooting","The process of identifying and fixing issues related to digital certificates that verify the identity of a website, person, or device.","Web browsers displaying certificate warnings, or VPN (Virtual Private Network) connections failing to authenticate.",Verify the system date and time are accurate (crucial for certificate validity); check if the certificate has expired; ensure the certificate chain of trust is correctly installed.,Security,Cryptography,CORE 2,,SECURITY,6/7/2026 0:00:00
Chains of custody,"A chronological documentation or paper trail that records the sequence of custody, control, transfer, analysis, and disposition of physical or electronic evidence.",Evidence being ruled inadmissible in a court of law due to gaps in documentation or unknown handlers of the data.,"Maintain rigorous logs from the moment evidence is collected; document every person who touches the evidence, the time of transfer, and the physical location where it is stored.",Operational Procedures,Forensics & Documentation,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Change management,"A structured approach to transitioning individuals, teams, and organizations from a current state to a desired future state to ensure changes are implemented safely.","System outages following an update, or confusion among users when business processes change without warning.","Follow the formal change process: document the requested change, perform risk analysis, create a ""Rollback plan"", obtain approval from the change board, and communicate with stakeholders.",Operational Procedures,Professional Best Practices,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Changing: Default passwords,"Replacing the factory-set credentials (e.g., admin/password) on network or IoT (Internet of Things) devices with strong, unique passwords.",Unauthorized access to network devices or the device being compromised by automated botnets scanning for known default credentials.,"Immediately access the device configuration interface after installation; navigate to the security or account settings; assign a complex, unique password; document it in a secure password manager.",Security,Access Control,CORE 2,,SECURITY,6/7/2026 0:00:00
